Имя товара;Категория;"Дополнительная
категория";Описание;Ключевики (SEO);Мета-Описание (SEO);"Картинки
123.jpg$Описание&
456.jpg$Описание2&";Видео;Инструкции;Поз.;AlsoBuy
34.G;Печи для саун;Печи без парогенератора;"Если вам необходима печь для коммерческой парной , которая способна работать по 15, 20 и даже больше часов в сутки 34 G - то, что нужно. Выход из строя печи и следующий за ним простой сауны, сопровождающийся финансовыми потерями - это не про EOS. В конструкции печи используется технология тройной облицовки.
Модельный ряд представляют 7 печей
Рекомендуется управление пультами Econ D3, Emotec D, Emoouch II+
Подключение — 400 V 3N AC
Габариты — 925 x 750 x 530 мм (модели на 15–21 кВт), 925 х 1000 х 530 (модели на 24–36 кВт)
Загрузка до 30 кг (модели на 15–21 кВт) или 45 кг (модели на 24–36 кВт) камней
Напольное исполнение
Подходит для саун от 18 до 75 кубических метров.
15,0 кВт 908586
18,0 кВт 908587
21,0 кВт 908588
24,0 кВт 908589
27,0 кВт 908590
30,0 кВт 908591
36,0 кВт 908592
увеличение объема камней + 30 кг (15-21 кВт) 944000
увеличение объема камней + 30 кг (24-36 кВт) 944001
увеличение объема камней и противопожарная защита (15-21 кВт) 944983
увеличение объема камней и противопожарная защита (24-36 кВт) 944984";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, 34 G, печь для коммерческой сауны, EOS, ЭОС;Электрическая печь для больших коммерческих объектов EOS 34.G насчитывает в счвоей линейке 7 моделей, что позвляет использовать ее в саунах от 18 - 75 куб. метров;34g.jpg$Электрическая печь для сауны EOS 34.G&;;34g.pdf$Инструкция для электричсекой печи EOS 34.G&;;
Goliath 34.G II;Печи для саун;Печи без парогенератора;"
Электрическая каменка премиального класса для сухой финской сауны. Спроектирована специально для высокоинтенсивной эксплуатации в больших коммерческих объектах. Оптимизировав конструкцию печи, инженерам завода EOS удалось увеличить корзину для камней до 75 килограмм. Нагревательные элементы не соприкасаются с камнями, что облегчает обслуживание печи. Каждый элемент печи изготавливается из нержавеющей стали.
Если вам необходима печь для коммерческой парной , которая способна работать по 15, 20 и даже непрерывно, в течении суток, Goliath 34.G II - то, что нужно. Выход из строя печи и следующая за ним остановка в работе сауны, сопровождающийся финансовыми потерями - это не про EOS. В конструкции печи используется технология тройной облицовки.
Рекомендуется управление пультами Econ D3, Emotec D, EmoTouch II+
Подключение — 400 V 3N AC
Габариты — 825 x 960 x 470 мм
Загрузка до 75 кг камней
Напольное исполнение

18,0 кВт 944805
24,0 кВт 944806
30,0 кВт 944807
36,0 кВт 944808
";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Goliath, Goliath 34G II, печь для коммерческой сауны, большая печь, EOS, ЭОС;Печь для больших коммерческих саун EOS Goliath 34.G II, с увеличенной корзиной для комней - отличное решение для огромной финской бани.;goliath.jpg$Электрическая печь для сауны EOS Goliath 34.G II&;;goliath.pdf$Инструкция для электричсекой печи EOS Goliath 34.G II&;;
Saunadome;Печи для саун;Печи без парогенератора;"Электрическая печь для сауны Saunadome II
Внимание! Эта модель только для истинных и закаленных банщиков! Корзина для камней, рассчитанная на100 кг и возможность поддавать воду со любой стороны, благодаря открытой конструкции позволяет создавать по настоящему влажную и жаркую атмосферу в парной.Боковые грани Saunadome это массивные переплетающиеся ленты, верхние кромки которых направлены вверх. Эта конструкция служит тому, чтобы пар, получаемый от испаряющейся воды не спускался вниз, а поднимался только вверх.

Это делает печь для сауны Saunadome настолько уникальной и неповторимой, что не хочется ее прятать в углу. Поэтому идеальное место для Saunadome II - это центр сауны, так как необходимые подключения возможно сделать снизу. Так же возможна установка напротив стеклянной стены.


Рекомендуется для использования с пультами Econ D2 или D3 или Emotec D.
Цвет — графит с перламутровым эффектом и нержавеющая сталь
Подключение — 400 V 3N AC
Габариты — 1000 x 400 x 400 мм
Загрузка до 125 кг камней
Напольное исполнение
9,0   кВт 944981
12,0 кВт 944859
15,0 кВт 944860
18,0 кВт 944861
Кронштейн для ограды печи 945323
";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Saunadome, eos, ЭОС;Электрическая печь для сауны с открытой увеличенной корзиной для камней Saunadome II санет настоящим украшением Вашей сауны ;saunadome.jpg$Электрическая печь для сауны EOS Saunadome II&;;saunadome.pdf$Инструкция для электричсекой печи EOS Saunadome II&;;
Finnrock;Печи для саун;Печи без парогенератора;"
Печь для сауны Finnrock - младшая версия Saunadome.
 Напольная электрическая каменка для частных и коммерческих саун. Передняя панель Finnrock так же, как и у каменки Saunadome, изготовлена из массивных переплетающихся лент, верхние кромки которых направлены вверх.
Специальная конструкция решеток предотвращает выпадение камней. Благодаря плоской задняя стенка с утопленной клеммной коробкой Finnrock подходит для установки перед стеклянной стеной или в центре сауны. Корзинга для камней вмещает до 40 кг, что обеспечивает стабильно высокую температуру сауны.

Рекомендуется для использования с пультами Econ D2 или D3 или Emotec D.
Цвет - Графит с перламутровым эффектом и нержавеющая сталь
Подключение - 3NAC 50Hz 400V
Габариты - 760 х 410 х 385 мм
Загрузка - до 40 кг камней
Напольное исполнение

7,5   кВт 945663
9,0   кВт 945664
12,0 кВт 945719

";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, finnrock, EOS, ЭОС;Напольная электрическая печь для сауны Finnrock с открытой корзиной для камней. Производство Германия.;finnrock.jpg$Электрическая печь для сауны EOS Finnrock&;;finnrock.pdf$Инструкция для электричсекой печи EOS Finnrock&;;
46 U Compact;Печи для саун;Печи без парогенератора;"Электрическая печь для частных и коммерческих саун.

Специальная конструкция каменки предусматривает скрытый монтаж.  Экстра тонкая конструкция 200 мм позволяет устанавливать печь под лавками, что экономит место в  малых саунах. Кроме того, это делает использование печи более безопасным, так как исключает контакт с нагретым корпусом печи или камнями. Предохранительная решетка не допускает падения предметов вниз на печь.

Рекомендуется для использования с пультами Econ D2 или D3 или Emotec D.
Цвет - Нержавеющая сталь
Подключение - 3NAC 50Hz 400V
Габариты - 870 х 920 х 200 мм
Загрузка - до 10 кг камней
Напольное исполнение

7,5   кВт 944250";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, 46 U, 46 U Compact, EOS, ЭОС;Компактная электрическая печь с установкой под лавками сауны EOS 46.U Compact;46ucompact.jpg$Электрическая печь для сауны EOS 46.U Compact&;;46ucompact.pdf$Инструкция для электричсекой печи EOS 46.U Compact&;;
46 U;Печи для саун;Печи без парогенератора;"Уникальная печь - находка для коммерческих саун или саун узкой формы. Прячется за фальш стенкой, а наружу выводится только чаша для полива воды. Таким образом, вы прячете каменку от посторонних глаз, или даже рук.  Мы часто слышим истории своих дилеров, как в коммерческих банях посетители пытаются унести жадеит прямо из печи.

Цвет - нержавеющая сталь
Подключение - 400 V 3N AC
Размеры - 870 х 1120 х 200 мм
Загрузка: до 15 кг. камней
Напольное исполнение, скрытый монтаж
Управление печью при помощи пультов EOS - Econ, Emotec или EmoTouch II+.

6,0   кВт 944887
7,5   кВт 944888
9,0   кВт 944889
12,0 кВт 908608

";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, 46U, печь скрытой установки EOS, ЭОС;Немецкая печь для сауы скрытой установки EOS 46.U. Для небольших домашних и коммерческих саун.;46u.jpg$Электрическая печь для сауны EOS 46.U&;;46u.pdf$Инструкция для электричсекой печи EOS 46.U&;;
Invisio Mini;Печи для саун;Печи без парогенератора;"Мини версия Invisio. Эта печь прячется под лавками сауны и в прямом смысле становится сердцем сауны.

Cкрытый монтаж

Благодаря такой установке, вы сэкономите пространство -  для установки необходим зазор 10 см от стены. Прекрасно подойдет как для коммерческой, так и для домашней сауны до 7 куб. метров. Выбрав печь Invisio, вы можете не переживать, что посетители получат доступ к горячим камням. Родителям, которые посещают сауну с детьми, не нужно беспокоиться, что дети обожгутся, а владельцы коммерческих саун таким образом ограничивают доступ клиентов к камням.

Компактная модель линейки Invisio, с корзиной для камней на 20 кг. камней.
Подключение к сети: 400 В 3N AC
Размеры: 650/710/770 x 660 x 380 мм
Рекомендуется для использования с пультами Econ D2 или D3 или Emotec D.

3,0   кВт 945708
4,5   кВт 945709
6,0   кВт 945710";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Invisio, Invisio Mini, EOS, ЭОС;Invisio Mini - электрическая печь для сауны, скрытая установка по полками сауны.;invisiomini.jpg$Электрическая печь для сауны EOS Invisio Mini&;;invisiomini.pdf$Инструкция для электричсекой печи EOS Invisio Mini&;;
Invisio Midi;Печи для саун;Печи без парогенератора;"Компактная каменка для сухой финской сауны. Специальная конструкция для скрытого монтажа под скамейками, подходит для небольших саун, позволяет рационально использовать пространство - нужен зазор всего 10 см от стены. Предохранительная рещшетка защищает нагревательные элементы от попадания посторонних предметов. Ножки регулируются по высоте (+/- 12 см)
Подойдет как для коммерческой, так и для домашней сауны до 14 куб. метров. Выбрав Invisio, вы можете не переживать, что посетители получат доступ к горячим камням. Это понравится и владельцам коммерческих саун, и семьям с маленькими детьми.
Рекомендуется для использования с пультами Econ D2 или D3 или Emotec D
Загрузка до 20 кг. камней

6,0   кВт 945786
9,0   кВт 945787
12,0 кВт 945788";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить,Invisio, Invisio Midi, EOS, ЭОС;;invisiomidi.jpg$Электрическая печь для сауны EOS Invisio Midi&;;;;
Invisio XL;Печи для саун;Печи без парогенератора;"
Скрытый монтаж

Надежная и прочная электрическая печь, подходит для коммерческого использования. Для монтажа необходим зазор всего 10 см, что позволит экономить место в сауне. В сравнении с моделями Mini и Midi, корзина для камней увеличена, и вмещает до 75 килограмм камней. Ножки регулируются по высоте (+- 15 см)
Выбрав печь Invisio, вы можете не переживать, что посетители получат доступ к горячим камням. Родители, которые посещают сауну с детьми, смогут не переживать, что дети обожгутся. В комплект поставки входит заливная воронка из нержавейки со шлангом. Внутренний желоб обеспечивает равномерное распределение воды вдоль всей длинны каменки для быстрого и полного испарения.Рекомендуется для использования с пультами Econ D2/D3, Emotec D или EmoTouch II+.

9,0 кВт 945522";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Invisio, Invisio XL, EOS, ЭОС;;invisioxl.jpg$Электрическая печь для сауны EOS Invisio XL&;;invisioxl.pdf$Инструкция для электричсекой печи EOS Invisio XL&;;
Cubo;Печи для саун;Печи без парогенератора;"Строгий дизайн, прямые линии, кубизм - это то, что выделяет немецкую школу промышленного дизайна. Печь Cubo неотступно следует этим правилам. Отличительной чертой этой каменки стоит отметить, что несмотря на предназначение для использования в домашних саунах от 7 до 18 куб. метров, она является не навесной, а напольной.
Напольная электрическая печь для домашних и коммерческих финских (сухих) саун. Корзина для камней располагается над нагревательными элементами для облегчения обслуживания и улучшенной конвекции воздуха.

Цвет - антрацит с перламутровым эффектом
Подключение - 400 V 3N AC
Компактные размеры - 750 x 400 x 385
Загрузка: до 25 кг. камней
Рекомендуется для использования с пультами Econ D2 или D3.
Обратите внимание, что для модели 12 кВт, необходим дополнительный релейный блок - L09R.
Напольное исполнение

7,5   кВт 945073
9,0   кВт 945074
12,0 кВт 945075";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Cubo, EOS, ЭОС;Напольная электрическая печь для установки в небольших саунах EOS Cubo. Стройгий немецкий дизайн, традиционное качество.;cubo.jpg$Электрическая печь для сауны EOS Cubo&;;cubo.pdf$Инструкция для электричсекой печи EOS Cubo&;;
Cubo Plus;Печи для саун;Печи без парогенератора;"Напольная электрическая печь для сухой финской сауны. Основа дизайна - прямые строгие линии. Благодаря задней стенке печь EOS Cubo plus подходит для установки перед стеклянным фасадом сауны. В сравнении с базовой моделью Cubo, корзина для камней увеличена и вмещает до 45 кг. камней

Прочная, долговечная конструкция.
Оптимальное соотношение между объемом камней и конвекцией воздуха для быстрого разогрева сауны.
Цвет - антрацит
Размеры: 950 x 40 x 385
Загрузка: до 45 кг. камней
Подключение: 400 V 3N AC 50 Hz

7,5   кВт 945974
9,0   кВт 945975
10,5 кВт 945976
12,0 кВт 945977
Декоративная панель 946046";печи для сауны, печь для сауны, печи электрические для сауны, печь для сауны электрическая, печи для бани и сауны, каменка для сауны, печь купить, Cubo, Cubo plus, EOS, ЭОС;Каменка для сухой финской сауны EOS Cubo plus. Выбирая пекчи для бани и сауны, стоит обратить внимание на данную модель.;cubopl.jpg$Электрическая печь для сауны EOS Cubo Plus&;;;;
Bi-O Mini;Печи для саун;Печи с парогенератором;"Электрическая печь для сухих, комбинированных, соляных, травяных бань. Подходит для установки в самых компактных саунах: 3 - 5 кубических метров . Загрузка до 8 кг камней. Рекомендуется для использования с пультами Econ D1, Econ D2
Цвет — нержавеющая сталь, антрацит
Подключение — 230 V N AC 50 Hz
Габариты — 660 x 300 x 215 мм
Загрузка до 8 кг камней
Настенное исполнение
3,0 кВт нержавеющая сталь 942444
3,0 кВт антрацит 946027";печи для сауны, печь для сауны, печи для бани, электрическая печь для сауны, печи электрические для сауны,  печь с парогенератором, печь EOS, печь эос, Mini, Bi-O Mini;EOS Bi-O Mini - супек компактная электрическая печь для комбинированных саун.;biomini.jpg$электрическая печь для сауны со встроенным парогенератором Bi-O Mini&;;mini_bi-o_mini.pdf$Инструкция для электричсекой печи EOS Bi-O Mini&;;
Bi-O Thermat;Печи для саун;Печи с парогенератором;"Электрическая печь со встроенным парогенератором Bi-O Thermat - Базовая модель для домашней сауны с загрузкой до 15 кг камней. Классика как она есть. Модельный ряд предусматривает использование в домашних саунах от 5 до 14 куб.метров. Рекомендуется для использования с пультами Econ H1, Econ H2
Цвет — графит с перламутровым эффектом
Подключение — 400 V 3N AC
Габариты — 760 x 450 x 380 мм
Загрузка до 15 кг камней
Мощность парогенератора 1,5 кВт
Бак парогенератора вмещает 5 литров воды..
6,0 кВт 944823
7,5 кВт 944824
9,0 кВт 944825";печи для сауны, печь для сауны, печи для бани, электрическая печь для сауны, печи электрические для сауны,  печь с парогенератором, печь EOS, печь эос, thermat, Bi-O Thermat;Электрическая печь со встроенным парогенератором EOS Bi-O Thermat может использоваться в режиме сухой сауны и парной.;bi-o_thermat.jpg$электрическая печь для сауны со встроенным парогенератором Bi-O Thermat&;;bi-o_thermati.pdf$Инструкция для электричсекой печи EOS Bi-O Thermat&;;
Bi-O Mat W;Печи для саун;Печи с парогенератором;"Печь Bi-O Mat W со встроенным парогенератором для саун небольшого размера.

В качестве пульта рекомендуется Econ H1, Econ H2, Econ H3
Цвет — нержавеющая сталь
С защитной решеткой и принадлежностями
Подключение — 400 V 3N AC
Габариты — 760 x 350 x 480 мм
Загрузка до 15 кг камней

Мощность парогенератора 1,5 кВт

6,0   кВт 909432А
7,5   кВт 909433А
9,0   кВт 909434А";печи для сауны, печь для сауны, печи для бани, электрическая печь для сауны, печи электрические для сауны,  печь с парогенератором, печь EOS, печь эос,  Bi-O Mat W;Каменка со встроенным парогенератором для созжания неповторимой атмосферы в вашей сауне EOS Bi-O Mat W ;biomatw.jpg$электрическая печь для сауны со встроенным парогенератором Bi-O Mat W&;;biomatw.pdf$Инструкция для электричсекой печи EOS Bi-O Mat W&;;
Bi-O Filius;Печи для саун;Печи с парогенератором;"Печь для комбинированной сауны, предназначенной для эксплуатации в сухом и влажном режиме. Благодаря малым габаритам подходит для установки в домашних саунах от 5 до 10 куб. метров. Толщина печи - 240 мм, а благодаря многослойной конструкции задняя стенка нисколько не нагревается, позволяя повесить печь вплотную к стене.
Цвет — графит с перламутровым эффектом
Подключение — 400 V 3N AC
Габариты — 575 x 403 x 240 мм
Загрузка до 8 кг камней
Настенное исполнение
Комплект поставки включает чашу для аромамасел и трав.
Бак испарителя вмещает на 2,5 литра.
Рекомендуется для использования с пультами Econ H1 или Econ H2.
4,5 кВт 945144
6,0 кВт 945145
7,5 кВт 945146";печи для сауны, печь для сауны, печи для бани, электрическая печь для сауны, печи электрические для сауны,  печь с парогенератором, печь EOS, печь эос, filius, Bi-O filius;Bi-O Filius - печь, выпущенная заводом EOS Saunatechnik - отражение немецкого качества и дизайна в малых размерах.;bi-o_filius.jpg$электрическая печь для сауны со встроенным парогенератором Bi-O Filius&;;filius_bi-o_filius.pdf$Инструкция для электричсекой печи EOS Bi-O Filius&;;
Bi-O Tec;Печи для саун;Печи с парогенератором;"Электрическая печь со встроенным в корпус парогенератором. Крепится на стене.
При нехватке воды, печь сообщит об этом при помощи звукового сигнала.
Бак парогенератора вмещает 5 литров воды. Чашей для трав и аромамасел, которая позволит наполнить Вашу сауну приятным ароматом, входит в комплект поставки.
Загрузка 15 кг. камней
Два варианта исполнения корпуса: антрацит или нержавеющая сталь (опционально)
6,0 кВт антрацит 942605А
7,5 кВт антрацит 942606А
9,0 кВт антрацит 942607А
6,0 кВт нержавеющая сталь 942608А
7,5 кВт нержавеющая сталь 942609А
9,0 кВт нержавеющая сталь 942610А
";печи для сауны, печь для сауны, печи для бани, электрическая печь для сауны, печи электрические для сауны,  печь с парогенератором, печь EOS, печь эос, Bi-O Tec;Печь со встроенным парогенератором EOS Bi-O Tec крепится на стене. Эксплуатация в сухом и влажном режиме.;bi-o_tec.jpg$электрическая печь для сауны со встроенным парогенератором Bi-O Tec&;;bi-o_tec.pdf$Инструкция для электричсекой печи EOS Bi-O Tec&;;
